type,transaction_date,price,units_traded,total,count,timestamp
0,0,0,0.0,0,0,2023-11-15 00:03:10.221883
0,0,0,0.0,0,0,2023-11-15 00:03:11.221883
0,0,0,0.0,0,0,2023-11-15 00:03:12.221883
1,2023-11-15 00:03:13,49109000,0.02239915,1099999,1,2023-11-15 00:03:13.221883
0,0,0,0.0,0,0,2023-11-15 00:03:14.221884
0,0,0,0.0,0,0,2023-11-15 00:03:15.221885
0,0,0,0.0,0,0,2023-11-15 00:03:16.221885
0,0,0,0.0,0,0,2023-11-15 00:03:17.221885
0,2023-11-15 00:03:17,49107000,0.002,98214,1,2023-11-15 00:03:18.221885
0,0,0,0.0,0,0,2023-11-15 00:03:19.221886
0,2023-11-15 00:03:19,49107000,0.00620304,156934,2,2023-11-15 00:03:20.221887
0,2023-11-15 00:03:20,49107000,0.00606977,298068,1,2023-11-15 00:03:21.221887
0,2023-11-15 00:03:21,49107000,0.00840402,412696,1,2023-11-15 00:03:22.221887
0,0,0,0.0,0,0,2023-11-15 00:03:23.221887
1,2023-11-15 00:03:23,49107000,0.01022531,502134,1,2023-11-15 00:03:24.221888
0,2023-11-15 00:03:24,49136000,0.00020351,9999,1,2023-11-15 00:03:25.221888
0,0,0,0.0,0,0,2023-11-15 00:03:26.221888
0,0,0,0.0,0,0,2023-11-15 00:03:27.221889
1,2023-11-15 00:03:27,49107000,0.00427048,209710,1,2023-11-15 00:03:28.221889
0,0,0,0.0,0,0,2023-11-15 00:03:29.221889
0,0,0,0.0,0,0,2023-11-15 00:03:30.221889
1,2023-11-15 00:03:30,49105750,0.19228423,2701108,10,2023-11-15 00:03:31.221890
0,0,0,0.0,0,0,2023-11-15 00:03:32.221890
0,0,0,0.0,0,0,2023-11-15 00:03:33.221890
0,0,0,0.0,0,0,2023-11-15 00:03:34.221890
0,0,0,0.0,0,0,2023-11-15 00:03:35.221891
1,2023-11-15 00:03:35,49107000,0.0063330999999999,110999,2,2023-11-15 00:03:36.221891
0,0,0,0.0,0,0,2023-11-15 00:03:37.221891
0,0,0,0.0,0,0,2023-11-15 00:03:38.221892
0,2023-11-15 00:03:39,49126000,0.00407116,199999,1,2023-11-15 00:03:39.221892
1,2023-11-15 00:03:38,49104124,0.22473832,5939318,3,2023-11-15 00:03:39.221892
0,0,0,0.0,0,0,2023-11-15 00:03:40.221892
1,2023-11-15 00:03:40,49106000,0.00710813,349051,1,2023-11-15 00:03:41.221893
0,0,0,0.0,0,0,2023-11-15 00:03:42.221893
0,0,0,0.0,0,0,2023-11-15 00:03:43.221893
1,2023-11-15 00:03:43,49106000,0.01583003,9999,4,2023-11-15 00:03:44.221893
1,2023-11-15 00:03:44,49104000,0.166,8151264,1,2023-11-15 00:03:45.221893
1,2023-11-15 00:03:45,49104000,0.08200059,4026556,1,2023-11-15 00:03:46.221894
0,2023-11-15 00:03:46,49105000,0.002,98210,1,2023-11-15 00:03:47.221894
1,2023-11-15 00:03:46,49104000,0.166,8151264,1,2023-11-15 00:03:47.221894
0,2023-11-15 00:03:47,49106000,0.014,687484,1,2023-11-15 00:03:48.221895
1,2023-11-15 00:03:47,49104000,0.0483323,2373309,1,2023-11-15 00:03:48.221895
0,2023-11-15 00:03:49,49105999,0.00581699,285649,1,2023-11-15 00:03:49.221895
0,0,0,0.0,0,0,2023-11-15 00:03:50.221895
0,0,0,0.0,0,0,2023-11-15 00:03:51.221895
1,2023-11-15 00:03:52,49103999,0.02045359,336538,2,2023-11-15 00:03:52.221896
0,0,0,0.0,0,0,2023-11-15 00:03:53.221897
0,2023-11-15 00:03:54,49105000,0.01973641,969156,1,2023-11-15 00:03:54.221897
1,2023-11-15 00:03:53,49104000,0.14714932,3649269,4,2023-11-15 00:03:54.221897
0,0,0,0.0,0,0,2023-11-15 00:03:55.221897
0,0,0,0.0,0,0,2023-11-15 00:03:56.221897
1,2023-11-15 00:03:56,49103999,0.93022577,9820,4,2023-11-15 00:03:57.221898
0,0,0,0.0,0,0,2023-11-15 00:03:58.221898
0,0,0,0.0,0,0,2023-11-15 00:03:59.221899
0,0,0,0.0,0,0,2023-11-15 00:04:00.221900
0,2023-11-15 00:04:01,49104000,0.00891583,437802,1,2023-11-15 00:04:01.221901
1,2023-11-15 00:04:00,49103000,0.0101195,496897,1,2023-11-15 00:04:01.221901
0,0,0,0.0,0,0,2023-11-15 00:04:02.221901
0,0,0,0.0,0,0,2023-11-15 00:04:03.221901
0,0,0,0.0,0,0,2023-11-15 00:04:04.221901
0,0,0,0.0,0,0,2023-11-15 00:04:05.221901
0,0,0,0.0,0,0,2023-11-15 00:04:06.221902
1,2023-11-15 00:04:06,49103000,0.00045038,22115,1,2023-11-15 00:04:07.221903
1,2023-11-15 00:04:07,49103000,0.00513291,252041,1,2023-11-15 00:04:08.221904
0,0,0,0.0,0,0,2023-11-15 00:04:09.221904
0,0,0,0.0,0,0,2023-11-15 00:04:10.221905
0,0,0,0.0,0,0,2023-11-15 00:04:11.221905
1,2023-11-15 00:04:11,49103000,0.09626058,386737,3,2023-11-15 00:04:12.221906
0,0,0,0.0,0,0,2023-11-15 00:04:13.221907
0,0,0,0.0,0,0,2023-11-15 00:04:14.221907
1,2023-11-15 00:04:14,49101999,0.00020379,10006,1,2023-11-15 00:04:15.221907
0,0,0,0.0,0,0,2023-11-15 00:04:16.221907
0,0,0,0.0,0,0,2023-11-15 00:04:17.221908
0,0,0,0.0,0,0,2023-11-15 00:04:18.221908
0,0,0,0.0,0,0,2023-11-15 00:04:19.221909
0,0,0,0.0,0,0,2023-11-15 00:04:20.221910
0,0,0,0.0,0,0,2023-11-15 00:04:21.221910
0,2023-11-15 00:04:22,49103261,0.02036493,261903,3,2023-11-15 00:04:22.221910
1,2023-11-15 00:04:21,49102000,0.01811008,889241,1,2023-11-15 00:04:22.221910
1,2023-11-15 00:04:22,49102000,0.00710209,25180,2,2023-11-15 00:04:23.221910
1,2023-11-15 00:04:24,49102000,0.13737643,780721,10,2023-11-15 00:04:24.221910
0,0,0,0.0,0,0,2023-11-15 00:04:25.221910
0,2023-11-15 00:04:25,49104000,0.00020364,9999,1,2023-11-15 00:04:26.221913
1,2023-11-15 00:04:25,49102000,0.03135504,444620,5,2023-11-15 00:04:26.221913
0,0,0,0.0,0,0,2023-11-15 00:04:27.221914
1,2023-11-15 00:04:27,49102000,0.1424,99999,5,2023-11-15 00:04:28.221914
1,2023-11-15 00:04:28,49101999,0.01721798,840875,2,2023-11-15 00:04:29.221914
0,0,0,0.0,0,0,2023-11-15 00:04:30.221915
0,0,0,0.0,0,0,2023-11-15 00:04:31.221915
0,0,0,0.0,0,0,2023-11-15 00:04:32.221916
0,0,0,0.0,0,0,2023-11-15 00:04:33.221917
0,2023-11-15 00:04:33,49104000,0.0011295,55462,1,2023-11-15 00:04:34.221918
1,2023-11-15 00:04:33,49102000,0.01341339,499999,2,2023-11-15 00:04:34.221918
0,2023-11-15 00:04:34,49101076,0.07999758,3777964,3,2023-11-15 00:04:35.221919
1,2023-11-15 00:04:34,49101012,0.10426598,99999,8,2023-11-15 00:04:35.221919
0,0,0,0.0,0,0,2023-11-15 00:04:36.221920
0,0,0,0.0,0,0,2023-11-15 00:04:37.221920
0,2023-11-15 00:04:37,49101000,0.00203657,99997,1,2023-11-15 00:04:38.221920
1,2023-11-15 00:04:38,49100000,0.07627196,199999,17,2023-11-15 00:04:39.221921
0,2023-11-15 00:04:39,49101000,0.02,982020,1,2023-11-15 00:04:40.221921
1,2023-11-15 00:04:40,49100000,0.06008856,2850341,2,2023-11-15 00:04:40.221921
0,0,0,0.0,0,0,2023-11-15 00:04:41.221922
0,2023-11-15 00:04:41,49101000,0.00203657,99997,1,2023-11-15 00:04:42.221922
1,2023-11-15 00:04:43,49100000,0.035,1718500,1,2023-11-15 00:04:43.221922
0,2023-11-15 00:04:43,49101000,0.04073705,2000229,1,2023-11-15 00:04:44.221923
0,2023-11-15 00:04:45,49101000,0.00098356,48293,1,2023-11-15 00:04:45.221923
1,2023-11-15 00:04:44,49100000,0.05167238,294600,9,2023-11-15 00:04:45.221923
0,2023-11-15 00:04:45,49101000,0.00215256,105692,1,2023-11-15 00:04:46.221924
1,2023-11-15 00:04:46,49100000,0.98106734,900350,35,2023-11-15 00:04:46.221924
0,2023-11-15 00:04:47,49101000,0.0349779599999999,37545,3,2023-11-15 00:04:47.221925
1,2023-11-15 00:04:46,49100000,0.00597904,36621,4,2023-11-15 00:04:47.221925
1,2023-11-15 00:04:47,49100027,0.4999999999999999,1798000,8,2023-11-15 00:04:48.221925
0,0,0,0.0,0,0,2023-11-15 00:04:49.221926
0,0,0,0.0,0,0,2023-11-15 00:04:50.221926
1,2023-11-15 00:04:50,49101000,0.00089179,43787,1,2023-11-15 00:04:51.221927
1,2023-11-15 00:04:52,49101000,0.00521809,200003,2,2023-11-15 00:04:52.221927
1,2023-11-15 00:04:52,49100000,0.0238088399999999,1075724,2,2023-11-15 00:04:53.221927
1,2023-11-15 00:04:53,49100000,0.0227,157120,3,2023-11-15 00:04:54.221928
1,2023-11-15 00:04:54,49099999,0.12026189,795420,4,2023-11-15 00:04:55.221929
1,2023-11-15 00:04:55,49099999,0.0499999999999999,35005,4,2023-11-15 00:04:56.221930
1,2023-11-15 00:04:56,49100437,0.00931626,257428,2,2023-11-15 00:04:57.221930
0,0,0,0.0,0,0,2023-11-15 00:04:58.221930
0,0,0,0.0,0,0,2023-11-15 00:04:59.221931
0,0,0,0.0,0,0,2023-11-15 00:05:00.221931
0,2023-11-15 00:04:59,49101000,0.00203657,99997,1,2023-11-15 00:05:01.221931
1,2023-11-15 00:04:59,49100000,0.0063,309330,1,2023-11-15 00:05:01.221931
0,2023-11-15 00:05:02,49101000,0.006,294606,1,2023-11-15 00:05:02.221931
1,2023-11-15 00:05:02,49100000,0.0021,103110,1,2023-11-15 00:05:03.221931
1,2023-11-15 00:05:03,49099999,0.04154432,966844,3,2023-11-15 00:05:04.221931
1,2023-11-15 00:05:05,49100000,0.9626584,44190,15,2023-11-15 00:05:05.221931
0,2023-11-15 00:05:05,49101000,0.0010183,49999,1,2023-11-15 00:05:06.221932
0,2023-11-15 00:05:07,49101000,0.002,98202,1,2023-11-15 00:05:07.221932
0,0,0,0.0,0,0,2023-11-15 00:05:08.221932
1,2023-11-15 00:05:09,49100000,0.06142845,2560812,2,2023-11-15 00:05:09.221932
0,0,0,0.0,0,0,2023-11-15 00:05:10.221932
1,2023-11-15 00:05:10,49100000,0.03115824,1529869,1,2023-11-15 00:05:11.221933
0,2023-11-15 00:05:11,49101000,0.00010185,5000,1,2023-11-15 00:05:12.221934
1,2023-11-15 00:05:11,49100000,0.00580114,284835,1,2023-11-15 00:05:12.221934
1,2023-11-15 00:05:12,49098501,0.61477995,499694,40,2023-11-15 00:05:13.221934
1,2023-11-15 00:05:13,49100000,0.00020366,9999,1,2023-11-15 00:05:14.221934
0,0,0,0.0,0,0,2023-11-15 00:05:15.221935
1,2023-11-15 00:05:15,49093000,0.0031852,156371,1,2023-11-15 00:05:16.221935
0,0,0,0.0,0,0,2023-11-15 00:05:17.221935
1,2023-11-15 00:05:17,49093000,0.00040762,20011,1,2023-11-15 00:05:18.221935
0,2023-11-15 00:05:19,49100000,0.00101832,49999,1,2023-11-15 00:05:19.221935
0,0,0,0.0,0,0,2023-11-15 00:05:20.221935
0,0,0,0.0,0,0,2023-11-15 00:05:21.221936
0,0,0,0.0,0,0,2023-11-15 00:05:22.221937
1,2023-11-15 00:05:23,49093000,0.0499999999999999,19999,5,2023-11-15 00:05:23.221938
0,0,0,0.0,0,0,2023-11-15 00:05:24.221938
1,2023-11-15 00:05:24,49093000,0.03731064,1831691,1,2023-11-15 00:05:25.221939
0,0,0,0.0,0,0,2023-11-15 00:05:26.221939
0,2023-11-15 00:05:25,49093000,0.00010186,5000,1,2023-11-15 00:05:27.221940
0,0,0,0.0,0,0,2023-11-15 00:05:28.221940
0,0,0,0.0,0,0,2023-11-15 00:05:29.221941
0,0,0,0.0,0,0,2023-11-15 00:05:30.221941
0,0,0,0.0,0,0,2023-11-15 00:05:31.221942
1,2023-11-15 00:05:32,49091999,0.0097,426192,2,2023-11-15 00:05:32.221942
